rank,front,meaning,pos,frequency,cle_wordnet,cle_closed_class,readurdu_entry,readurdu_meaning,kaikki_entry,kaikki_meaning,source
2113,اشارے,"inflection of اِشارَہ (iśāra): | also: plural direct of اِشارَہ (iśāra — gesture, indication, pointing)",noun,310,False,False,True,"inflection of اِشارَہ (iśāra): | also: plural direct of اِشارَہ (iśāra — gesture, indication, pointing)",True,direct plural; oblique/vocative singular,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2114,نرخ,"n. price, rate, cost | Platts: (prob. akin to S. निरीक्ष्, and H. nirakhnā), s.m. Tariff, assize, price (of provisions, &c., as fixed by the…",noun,310,False,False,True,"n. price, rate, cost | Platts: (prob. akin to S. निरीक्ष्, and H. nirakhnā), s.m. Tariff, assize, price (of provisions, &c., as fixed by the…",True,"price, rate, cost","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2115,سینہ,"n. chest, breast | Platts: s.m. The breast, bosom, chest: — sīna ubhār-kar (or nikāl-kar) ćalnā, To walk with the chest stuck out; to…",noun,309,False,False,True,"n. chest, breast | Platts: s.m. The breast, bosom, chest: — sīna ubhār-kar (or nikāl-kar) ćalnā, To walk with the chest stuck out; to…",True,"chest, breast","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2116,معدہ,"n. stomach (internal organ) | Platts: (for A. معدة měʻdat, or maʻidat, v.n. fr. معد 'to draw or seize rapidly; to carry off'), s.m. The stomach; …",noun,309,False,False,True,"n. stomach (internal organ) | Platts: (for A. معدة měʻdat, or maʻidat, v.n. fr. معد 'to draw or seize rapidly; to carry off'), s.m. The stomach; …",True,stomach (internal organ),"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2117,مناسبت,"n. relation, connexion; proportion; analogy; comparison; suitableness, fitness; propriety, aptness; accordance, correspondence, consistence; expediency; convenience | Platts: (for A. مناسبة, inf. n. of ناسب 'to be similar, or like,' &c., iii of نسب 'to refer (to); to derive (from),'…",noun,309,False,False,True,"n. relation, connexion; proportion; analogy; comparison; suitableness, fitness; propriety, aptness; accordance, correspondence, consistence; expediency; convenience | Platts: (for A. مناسبة, inf. n. of ناسب 'to be similar, or like,' &c., iii of نسب 'to refer (to); to derive (from),'…",True,"suitableness, fitness; propriety, aptness; relation, connexion; proportion; analogy; comparison; accordance, correspondence, consistence; expediency; convenience","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2118,دنیاوی,"worldly, materialistic; secular (ie. as opposed to religious or spiritual)",adj,308,False,False,True,"worldly, materialistic; secular (ie. as opposed to religious or spiritual)",True,"worldly, materialistic; secular (ie. as opposed to religious or spiritual)","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2119,چرس,"n. charas (cannabis-resin intoxicant) | Platts: (fr. ćarsā), s.m. A large leathern bag or bucket (for drawing water from wells; — syn. purwaṭ; moṭh)…",noun,307,False,False,True,"n. charas (cannabis-resin intoxicant) | Platts: (fr. ćarsā), s.m. A large leathern bag or bucket (for drawing water from wells; — syn. purwaṭ; moṭh)…",True,charas (cannabis-resin intoxicant),"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2120,طیارہ,airplane; airship; plane (aircraft of any kind),noun,307,False,False,True,airplane; airship; plane (aircraft of any kind),True,airplane; airship; plane (aircraft of any kind),"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2121,عیسائی,"adj. Christian | n. Christian | Platts: (rel. n. fr. عيسي ʻīsā), adj. & s.m. Christian; — a Christian: — ʻīsāʼī honā or ho-jānā, To become a…",adj|noun,307,False,False,True,"adj. Christian | n. Christian | Platts: (rel. n. fr. عيسي ʻīsā), adj. & s.m. Christian; — a Christian: — ʻīsāʼī honā or ho-jānā, To become a…",True,Christian,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2122,اخباری,journalistic,adj,306,False,False,True,journalistic,True,journalistic,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
